dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
32;4;2022-01-13;3757;17;0;0;2
33;1;2022-01-13;947191;932503;495982;1543;523131
33;2;2022-01-13;198931;209019;242346;802;263703
33;3;2022-01-13;132104;105190;198;0;73
33;4;2022-01-13;33308;180;10;1;48
34;1;2022-01-13;677689;650831;366873;905;391502
34;2;2022-01-13;116416;122790;127084;404;141212
34;3;2022-01-13;88992;70060;152;1;100
34;4;2022-01-13;21282;141;35;0;92
35;1;2022-01-13;674415;657819;301057;941;319643
35;2;2022-01-13;97829;109880;169038;561;182298
35;3;2022-01-13;83544;65812;98;0;19
35;4;2022-01-13;17467;35;2;0;5
36;1;2022-01-13;137599;135670;73260;174;77499
36;2;2022-01-13;15892;17814;27006;91;30220
36;3;2022-01-13;16810;14025;16;0;4
36;4;2022-01-13;4757;8;0;0;3
37;1;2022-01-13;364586;357267;196913;673;210601
37;2;2022-01-13;57603;64240;80966;269;90026
37;3;2022-01-13;57140;46586;61;0;20
37;4;2022-01-13;12775;22;2;0;5
38;1;2022-01-13;754183;721188;365615;1326;406725
38;2;2022-01-13;119650;127721;142145;477;161831
38;3;2022-01-13;90254;67343;82;0;36
38;4;2022-01-13;14195;73;18;0;25
39;1;2022-01-13;147078;139695;74414;192;82909
39;2;2022-01-13;28376;29776;32538;65;36753
39;3;2022-01-13;17796;14762;15;0;11
39;4;2022-01-13;3735;12;0;0;6
40;1;2022-01-13;268796;265325;151778;465;158346
40;2;2022-01-13;39055;42533;61935;159;66279
40;3;2022-01-13;33818;27640;28;0;5
40;4;2022-01-13;7099;36;1;0;18
41;1;2022-01-13;199911;195546;112359;518;119243
41;2;2022-01-13;34485;37392;43027;153;48209
41;3;2022-01-13;25470;21876;48;0;20
41;4;2022-01-13;7472;9;1;0;1
42;1;2022-01-13;471426;442378;226421;513;257747
42;2;2022-01-13;48187;55483;67817;221;80197
42;3;2022-01-13;47286;35578;27;0;10
42;4;2022-01-13;9513;40;5;0;12
43;1;2022-01-13;143229;137018;77174;175;85932
43;2;2022-01-13;13295;14233;14842;64;17653
43;3;2022-01-13;13250;10223;15;0;4
43;4;2022-01-13;3385;11;0;0;2
44;1;2022-01-13;898574;887156;415387;1351;438161
44;2;2022-01-13;116079;125935;191147;545;207688
44;3;2022-01-13;103499;82004;103;0;21
44;4;2022-01-13;20983;51;5;0;9
45;1;2022-01-13;421432;405221;195322;580;209282
45;2;2022-01-13;53390;59419;102782;469;113886
45;3;2022-01-13;42970;34827;36;0;6
45;4;2022-01-13;10105;21;1;0;5
46;1;2022-01-13;115695;113377;62012;132;63548
46;2;2022-01-13;7118;7851;20516;43;21849
46;3;2022-01-13;9520;7815;2;0;5
46;4;2022-01-13;2278;9;1;0;3
47;1;2022-01-13;190880;185864;103767;230;107442
47;2;2022-01-13;41439;43196;43384;84;46702
47;3;2022-01-13;19138;15991;21;0;17
47;4;2022-01-13;6027;44;3;0;32
48;1;2022-01-13;46564;44352;23131;46;24595
48;2;2022-01-13;4481;5033;7708;25;8717
48;3;2022-01-13;4777;3641;6;0;3
48;4;2022-01-13;1202;2;0;0;1
49;1;2022-01-13;502072;492749;274489;943;292926
49;2;2022-01-13;66314;73916;80294;192;89348
49;3;2022-01-13;63978;51822;69;0;17
49;4;2022-01-13;12730;16;1;0;3
50;1;2022-01-13;321866;317362;154609;545;161087
50;2;2022-01-13;46683;52449;101387;344;109152
50;3;2022-01-13;37720;30849;21;0;5
50;4;2022-01-13;9197;9;0;0;0
51;1;2022-01-13;329864;320440;156652;419;170140
51;2;2022-01-13;51154;57174;88153;220;97360
51;3;2022-01-13;45939;36317;30;0;18
51;4;2022-01-13;9649;18;0;0;3
52;1;2022-01-13;110436;106424;53943;133;58420
52;2;2022-01-13;8973;10890;23665;72;26866
52;3;2022-01-13;11233;9255;5;0;5
52;4;2022-01-13;2792;12;1;0;8
53;1;2022-01-13;189838;187087;105904;344;113462
53;2;2022-01-13;27359;30009;33949;90;37684
53;3;2022-01-13;22153;18393;34;0;5
53;4;2022-01-13;5221;4;1;0;0
54;1;2022-01-13;413930;402325;226262;801;245676
54;2;2022-01-13;77697;82331;91022;337;102117
54;3;2022-01-13;55402;43244;52;0;17
54;4;2022-01-13;11631;52;4;0;13
55;1;2022-01-13;114841;112007;60310;291;65733
55;2;2022-01-13;11388;12995;22073;106;25167
55;3;2022-01-13;13481;10447;9;0;1
55;4;2022-01-13;3309;5;0;0;0
56;1;2022-01-13;474805;469786;217929;518;227580
56;2;2022-01-13;81439;88302;148995;472;159348
56;3;2022-01-13;65223;53753;67;0;17
56;4;2022-01-13;15050;42;5;0;12
57;1;2022-01-13;628130;601314;324423;1154;350462
57;2;2022-01-13;101437;107126;119591;420;132983
57;3;2022-01-13;55442;41776;33;0;12
57;4;2022-01-13;11846;60;12;0;20
