"dep";"an_sem";"clage_covid_dc65";"cat_zscore"
"19";"2020-S13";"A";"1"
"19";"2020-S14";"A";"1"
"19";"2020-S11";"0";"1"
"19";"2020-S12";"0";"1"
"19";"2020-S13";"0";"1"
"19";"2020-S14";"0";"1"
"21";"2020-S11";"A";"1"
"21";"2020-S12";"A";"2"
"21";"2020-S13";"A";"2"
"21";"2020-S14";"A";"2"
"21";"2020-S11";"0";"1"
"21";"2020-S12";"0";"2"
"21";"2020-S13";"0";"1"
"21";"2020-S14";"0";"2"
"22";"2020-S11";"A";"1"
"22";"2020-S12";"A";"1"
"22";"2020-S13";"A";"1"
"22";"2020-S14";"A";"1"
"22";"2020-S11";"0";"1"
"22";"2020-S12";"0";"1"
"22";"2020-S13";"0";"1"
"22";"2020-S14";"0";"1"
"23";"2020-S11";"A";"1"
"23";"2020-S12";"A";"1"
"23";"2020-S13";"A";"1"
"23";"2020-S14";"A";"1"
"23";"2020-S11";"0";"1"
"23";"2020-S12";"0";"1"
"23";"2020-S13";"0";"1"
"23";"2020-S14";"0";"1"
"24";"2020-S11";"A";"1"
"24";"2020-S12";"A";"1"
"24";"2020-S13";"A";"1"
"24";"2020-S14";"A";"1"
"24";"2020-S11";"0";"1"
"24";"2020-S12";"0";"1"
"24";"2020-S13";"0";"1"
"24";"2020-S14";"0";"1"
"25";"2020-S11";"A";"2"
"25";"2020-S12";"A";"2"
"25";"2020-S13";"A";"2"
"25";"2020-S14";"A";"4"
"25";"2020-S11";"0";"1"
"25";"2020-S12";"0";"2"
"25";"2020-S13";"0";"2"
"25";"2020-S14";"0";"4"
"26";"2020-S11";"A";"1"
"26";"2020-S12";"A";"1"
"26";"2020-S13";"A";"2"
"26";"2020-S14";"A";"1"
"26";"2020-S11";"0";"1"
"26";"2020-S12";"0";"1"
"26";"2020-S13";"0";"2"
"26";"2020-S14";"0";"1"
"27";"2020-S11";"A";"1"
"27";"2020-S12";"A";"1"
"27";"2020-S13";"A";"1"
"27";"2020-S14";"A";"3"
"27";"2020-S11";"0";"1"
"27";"2020-S12";"0";"1"
"27";"2020-S13";"0";"1"
"27";"2020-S14";"0";"2"
"28";"2020-S11";"A";"1"
"28";"2020-S12";"A";"1"
"28";"2020-S13";"A";"1"
"28";"2020-S14";"A";"2"
"28";"2020-S11";"0";"1"
"28";"2020-S12";"0";"1"
"28";"2020-S13";"0";"1"
"28";"2020-S14";"0";"2"
"29";"2020-S11";"A";"1"
"29";"2020-S12";"A";"1"
"29";"2020-S13";"A";"1"
"29";"2020-S14";"A";"1"
"29";"2020-S11";"0";"1"
"29";"2020-S12";"0";"1"
"29";"2020-S13";"0";"1"
"29";"2020-S14";"0";"1"
"30";"2020-S11";"A";"1"
"30";"2020-S12";"A";"1"
"30";"2020-S13";"A";"1"
"30";"2020-S14";"A";"1"
"30";"2020-S11";"0";"1"
"30";"2020-S12";"0";"1"
"30";"2020-S13";"0";"1"
"30";"2020-S14";"0";"1"
"31";"2020-S11";"A";"1"
"31";"2020-S12";"A";"1"
"31";"2020-S13";"A";"1"
"31";"2020-S14";"A";"1"
"31";"2020-S11";"0";"1"
"31";"2020-S12";"0";"1"
"31";"2020-S13";"0";"1"
"31";"2020-S14";"0";"1"
"32";"2020-S11";"A";"1"
"32";"2020-S12";"A";"1"
"32";"2020-S13";"A";"1"
"32";"2020-S14";"A";"1"
"32";"2020-S11";"0";"1"
"32";"2020-S12";"0";"1"
"32";"2020-S13";"0";"1"
"32";"2020-S14";"0";"2"
"33";"2020-S11";"A";"1"
"33";"2020-S12";"A";"1"
"33";"2020-S13";"A";"1"
"33";"2020-S14";"A";"1"
"33";"2020-S11";"0";"1"
"33";"2020-S12";"0";"1"
"33";"2020-S13";"0";"1"
"33";"2020-S14";"0";"1"
"34";"2020-S11";"A";"1"
"34";"2020-S12";"A";"2"
"34";"2020-S13";"A";"2"
"34";"2020-S14";"A";"2"
"34";"2020-S11";"0";"1"
"34";"2020-S12";"0";"1"
"34";"2020-S13";"0";"2"
"34";"2020-S14";"0";"2"
"35";"2020-S11";"A";"1"
"35";"2020-S12";"A";"1"
"35";"2020-S13";"A";"1"
"35";"2020-S14";"A";"1"
"35";"2020-S11";"0";"1"
"35";"2020-S12";"0";"1"
"35";"2020-S13";"0";"1"
"35";"2020-S14";"0";"1"
"36";"2020-S11";"A";"1"
"36";"2020-S12";"A";"1"
"36";"2020-S13";"A";"2"
"36";"2020-S14";"A";"2"
"36";"2020-S11";"0";"1"
"36";"2020-S12";"0";"1"
"36";"2020-S13";"0";"2"
"36";"2020-S14";"0";"2"
"37";"2020-S11";"A";"1"
"37";"2020-S12";"A";"1"
"37";"2020-S13";"A";"1"
"37";"2020-S14";"A";"1"
"37";"2020-S11";"0";"1"
"37";"2020-S12";"0";"1"
"37";"2020-S13";"0";"1"
"37";"2020-S14";"0";"1"
"38";"2020-S11";"A";"1"
"38";"2020-S12";"A";"1"
"38";"2020-S13";"A";"2"
"38";"2020-S14";"A";"2"
"38";"2020-S11";"0";"1"
"38";"2020-S12";"0";"1"
"38";"2020-S13";"0";"2"
"38";"2020-S14";"0";"1"
"39";"2020-S11";"A";"1"
"39";"2020-S12";"A";"1"
"39";"2020-S13";"A";"1"
"39";"2020-S14";"A";"2"
"39";"2020-S11";"0";"1"
"39";"2020-S12";"0";"1"
"39";"2020-S13";"0";"1"
"39";"2020-S14";"0";"2"
"40";"2020-S11";"A";"1"
"40";"2020-S12";"A";"1"
"40";"2020-S13";"A";"1"
"40";"2020-S14";"A";"1"
"40";"2020-S11";"0";"1"
"40";"2020-S12";"0";"1"
"40";"2020-S13";"0";"1"
"40";"2020-S14";"0";"1"
"41";"2020-S11";"A";"1"
"41";"2020-S12";"A";"1"
"41";"2020-S13";"A";"1"
"41";"2020-S14";"A";"1"
"41";"2020-S11";"0";"1"
"41";"2020-S12";"0";"1"
"41";"2020-S13";"0";"1"
"41";"2020-S14";"0";"1"
"42";"2020-S11";"A";"1"
"42";"2020-S12";"A";"1"
"42";"2020-S13";"A";"2"
"42";"2020-S14";"A";"3"
"42";"2020-S11";"0";"1"
