dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
74;2;2022-01-13;299622;296278;160591;71.0;70.2;38.1
75;1;2022-01-13;849453;837536;515547;84.2;83.0;51.1
75;2;2022-01-13;913549;902171;579234;80.2;79.2;50.8
76;1;2022-01-13;479035;471327;286395;80.2;78.9;48.0
76;2;2022-01-13;522762;516240;337905;80.8;79.8;52.3
77;1;2022-01-13;513490;503919;276510;74.4;73.0;40.0
77;2;2022-01-13;544619;535865;309467;74.3;73.1;42.2
78;1;2022-01-13;547077;538374;314491;77.8;76.6;44.7
78;2;2022-01-13;578018;570145;351551;77.5;76.5;47.1
79;1;2022-01-13;148800;146546;87118;81.9;80.6;47.9
79;2;2022-01-13;156621;154767;99099;82.0;81.1;51.9
80;1;2022-01-13;223577;219976;133594;80.9;79.6;48.3
80;2;2022-01-13;239428;236465;154205;81.6;80.6;52.6
81;1;2022-01-13;145018;142197;85984;77.9;76.4;46.2
81;2;2022-01-13;157510;154923;98766;78.1;76.8;49.0
82;1;2022-01-13;96135;93990;54550;74.8;73.2;42.5
82;2;2022-01-13;101948;100101;61873;76.0;74.6;46.1
83;1;2022-01-13;394795;385340;225022;76.7;74.9;43.7
83;2;2022-01-13;431642;422492;258262;77.2;75.6;46.2
84;1;2022-01-13;201023;196207;107347;74.6;72.8;39.9
84;2;2022-01-13;217047;212580;122189;74.4;72.9;41.9
85;1;2022-01-13;278425;275953;163850;83.8;83.0;49.3
85;2;2022-01-13;295697;293346;187581;84.3;83.6;53.5
86;1;2022-01-13;165012;162473;95904;78.4;77.2;45.6
86;2;2022-01-13;178447;176157;112573;78.7;77.6;49.6
87;1;2022-01-13;141655;139534;87203;80.4;79.2;49.5
87;2;2022-01-13;156131;154250;103278;80.2;79.2;53.0
88;1;2022-01-13;137551;135156;79931;78.7;77.3;45.7
88;2;2022-01-13;148330;146425;93146;80.3;79.3;50.4
89;1;2022-01-13;125350;122969;73462;77.3;75.9;45.3
89;2;2022-01-13;134049;131910;83498;78.8;77.6;49.1
90;1;2022-01-13;50358;49466;29340;72.7;71.4;42.3
90;2;2022-01-13;51967;51295;32423;73.4;72.4;45.8
91;1;2022-01-13;470785;462455;252154;72.9;71.6;39.1
91;2;2022-01-13;494975;487285;280912;73.4;72.3;41.7
92;1;2022-01-13;586358;579905;348944;76.5;75.7;45.5
92;2;2022-01-13;647190;640461;403988;76.4;75.6;47.7
93;1;2022-01-13;539840;528015;240112;65.6;64.2;29.2
93;2;2022-01-13;549635;538585;259690;64.9;63.6;30.6
94;1;2022-01-13;490129;482845;265668;72.5;71.4;39.3
94;2;2022-01-13;528941;522446;305305;72.5;71.6;41.8
95;1;2022-01-13;439900;431317;221012;72.9;71.5;36.6
95;2;2022-01-13;461806;453836;247788;71.6;70.4;38.4
01;0;2022-01-13;473966;468682;275028;72.1;71.3;41.9
02;0;2022-01-13;411895;405239;241794;78.3;77.0;46.0
03;0;2022-01-13;266038;262934;171069;80.3;79.4;51.6
04;0;2022-01-13;116980;114338;68097;70.8;69.2;41.2
05;0;2022-01-13;107754;105547;63834;76.0;74.5;45.0
06;0;2022-01-13;841054;822344;504334;77.9;76.2;46.7
07;0;2022-01-13;243625;240109;147674;74.5;73.5;45.2
08;0;2022-01-13;210232;207000;130950;79.2;78.0;49.3
09;0;2022-01-13;112494;110092;67120;73.8;72.2;44.0
10;0;2022-01-13;234157;230702;145669;75.6;74.4;47.0
11;0;2022-01-13;284008;278239;171358;76.2;74.7;46.0
12;0;2022-01-13;216563;212910;132998;77.8;76.5;47.8
13;0;2022-01-13;1461225;1425725;821343;71.8;70.1;40.4
14;0;2022-01-13;571661;563340;365977;82.7;81.5;52.9
15;0;2022-01-13;117251;115879;77115;82.1;81.1;54.0
16;0;2022-01-13;281723;277441;172178;80.9;79.7;49.5
17;0;2022-01-13;548263;539605;334930;84.7;83.4;51.8
18;0;2022-01-13;238353;234779;148217;80.4;79.2;50.0
19;0;2022-01-13;192071;189087;121149;79.9;78.7;50.4
21;0;2022-01-13;414254;408221;255867;77.7;76.6;48.0
22;0;2022-01-13;504399;496544;322647;84.6;83.3;54.1
23;0;2022-01-13;90630;89080;59233;77.9;76.6;50.9
24;0;2022-01-13;327479;321374;205566;80.2;78.7;50.3
25;0;2022-01-13;397630;391444;229970;73.7;72.6;42.6
26;0;2022-01-13;383971;378348;225648;73.8;72.7;43.3
27;0;2022-01-13;472515;465151;279596;78.7;77.4;46.5
28;0;2022-01-13;338431;333435;208854;78.8;77.6;48.6
29;0;2022-01-13;764618;754058;486985;84.3;83.2;53.7
2A;0;2022-01-13;111940;109247;69612;68.9;67.3;42.9
2B;0;2022-01-13;119955;116827;75298;65.8;64.1;41.3
30;0;2022-01-13;569377;557849;330620;76.1;74.5;44.2
31;0;2022-01-13;1065559;1047676;606825;76.1;74.8;43.3
32;0;2022-01-13;153114;150493;99769;80.6;79.2;52.5
33;0;2022-01-13;1312074;1290652;786986;80.3;79.0;48.2
34;0;2022-01-13;904513;886762;532934;76.9;75.4;45.3
35;0;2022-01-13;873422;861928;501975;80.7;79.7;46.4
36;0;2022-01-13;175105;172563;107726;80.6;79.5;49.6
37;0;2022-01-13;492242;485710;300659;81.3;80.2;49.7
38;0;2022-01-13;978595;967027;568633;77.4;76.4;45.0
39;0;2022-01-13;197047;193814;119681;76.4;75.2;46.4
40;0;2022-01-13;348818;343607;224654;84.7;83.4;54.5
41;0;2022-01-13;267372;263422;167473;81.6;80.4;51.1
42;0;2022-01-13;576505;569818;337976;75.4;74.5;44.2
43;0;2022-01-13;173188;171017;103595;76.3;75.4;45.7
44;0;2022-01-13;1139440;1128564;645914;79.3;78.5;44.9
45;0;2022-01-13;528062;519673;323189;77.3;76.1;47.3
46;0;2022-01-13;134647;132178;85410;77.8;76.3;49.3
47;0;2022-01-13;257591;252747;154197;78.0;76.5;46.7
48;0;2022-01-13;57040;56113;33316;74.8;73.6;43.7
49;0;2022-01-13;645393;639496;382323;79.1;78.4;46.9
50;0;2022-01-13;415696;409802;270248;84.7;83.5;55.1
51;0;2022-01-13;436812;430236;267529;77.5;76.3;47.4
52;0;2022-01-13;133495;131452;85300;78.9;77.7;50.4
53;0;2022-01-13;244685;242271;151160;80.1;79.3;49.5
54;0;2022-01-13;558972;549986;347829;76.5;75.3;47.6
55;0;2022-01-13;143110;140555;90903;78.8;77.4;50.0
56;0;2022-01-13;636700;627584;386969;84.3;83.1;51.2
57;0;2022-01-13;797048;783795;483521;76.9;75.7;46.7
58;0;2022-01-13;163231;160763;106186;81.8;80.5;53.2
59;0;2022-01-13;1985501;1955805;1188130;76.7;75.5;45.9
60;0;2022-01-13;625483;615177;347372;75.8;74.6;42.1
61;0;2022-01-13;223529;220036;142091;80.7;79.5;51.3
62;0;2022-01-13;1175923;1159856;732083;80.9;79.8;50.4
63;0;2022-01-13;514664;509121;325273;78.0;77.1;49.3
64;0;2022-01-13;554873;546607;351434;81.2;80.0;51.4
65;0;2022-01-13;181536;178356;115802;80.0;78.6;51.1
66;0;2022-01-13;370300;362895;225663;77.3;75.8;47.1
67;0;2022-01-13;888084;875331;524696;78.4;77.3;46.3
68;0;2022-01-13;555777;545960;325650;72.8;71.5;42.7
69;0;2022-01-13;1415234;1399042;799781;75.4;74.6;42.6
70;0;2022-01-13;181305;178500;113060;77.7;76.5;48.5
71;0;2022-01-13;439820;433746;279100;80.3;79.2;50.9
72;0;2022-01-13;456814;450562;269504;81.5;80.4;48.1
73;0;2022-01-13;335670;331633;192228;77.6;76.7;44.4
74;0;2022-01-13;585976;579135;305360;70.7;69.9;36.9
75;0;2022-01-13;1763004;1739709;1094781;82.1;81.0;51.0
76;0;2022-01-13;1001801;987571;624302;80.5;79.4;50.2
77;0;2022-01-13;1058114;1039789;585977;74.3;73.0;41.2
78;0;2022-01-13;1125097;1108521;666042;77.7;76.5;46.0
79;0;2022-01-13;305421;301313;186217;82.0;80.9;50.0
80;0;2022-01-13;463008;456444;287800;81.3;80.1;50.5
81;0;2022-01-13;302530;297122;184751;78.0;76.6;47.6
82;0;2022-01-13;198085;194093;116423;75.4;73.9;44.3
83;0;2022-01-13;826439;807834;483284;77.0;75.2;45.0
84;0;2022-01-13;418071;408788;229536;74.5;72.9;40.9
85;0;2022-01-13;574124;569301;351431;84.0;83.3;51.4
86;0;2022-01-13;343460;338631;208478;78.5;77.4;47.7
87;0;2022-01-13;297787;293785;190481;80.3;79.2;51.4
88;0;2022-01-13;285882;281582;173078;79.5;78.3;48.1
89;0;2022-01-13;259399;254879;156960;78.1;76.7;47.3
90;0;2022-01-13;102326;100762;61764;73.0;71.9;44.1
91;0;2022-01-13;965761;949741;533066;73.2;72.0;40.4
92;0;2022-01-13;1233551;1220369;752932;76.4;75.6;46.7
93;0;2022-01-13;1089482;1066605;499802;65.2;63.9;29.9
94;0;2022-01-13;1019074;1005294;570973;72.5;71.5;40.6
95;0;2022-01-13;901707;885154;468800;72.2;70.9;37.6
