dep;week;P;T;cl_age90;pop
01;2020-S35;16;269;89;26830
01;2020-S35;20;147;90;7395
01;2020-S35;322;7369;0;656955
01;2020-S36;23;458;09;83001
01;2020-S36;79;864;19;84665
01;2020-S36;104;1628;29;65496
01;2020-S36;81;1436;39;85588
01;2020-S36;69;1313;49;89678
01;2020-S36;52;1284;59;89791
01;2020-S36;22;806;69;73500
01;2020-S36;21;567;79;51011
01;2020-S36;9;342;89;26830
01;2020-S36;2;124;90;7395
01;2020-S36;462;8822;0;656955
01;2020-S37;27;1337;09;83001
01;2020-S37;65;1448;19;84665
01;2020-S37;94;1604;29;65496
01;2020-S37;90;1791;39;85588
01;2020-S37;65;1356;49;89678
01;2020-S37;85;1255;59;89791
01;2020-S37;43;769;69;73500
01;2020-S37;18;585;79;51011
01;2020-S37;8;432;89;26830
01;2020-S37;5;227;90;7395
01;2020-S37;500;10804;0;656955
01;2020-S38;48;1049;09;83001
01;2020-S38;88;1848;19;84665
01;2020-S38;118;1603;29;65496
01;2020-S38;114;1869;39;85588
01;2020-S38;126;1580;49;89678
01;2020-S38;79;1288;59;89791
01;2020-S38;32;880;69;73500
01;2020-S38;35;626;79;51011
01;2020-S38;15;432;89;26830
01;2020-S38;5;225;90;7395
01;2020-S38;660;11400;0;656955
01;2020-S39;15;394;09;83001
01;2020-S39;65;1596;19;84665
01;2020-S39;131;1414;29;65496
01;2020-S39;65;1397;39;85588
01;2020-S39;78;1239;49;89678
01;2020-S39;82;1112;59;89791
01;2020-S39;48;751;69;73500
01;2020-S39;29;569;79;51011
01;2020-S39;10;376;89;26830
01;2020-S39;4;175;90;7395
01;2020-S39;527;9023;0;656955
01;2020-S40;14;251;09;83001
01;2020-S40;94;1371;19;84665
01;2020-S40;123;1440;29;65496
01;2020-S40;95;1188;39;85588
01;2020-S40;97;1086;49;89678
01;2020-S40;86;1034;59;89791
01;2020-S40;45;718;69;73500
01;2020-S40;25;504;79;51011
01;2020-S40;13;289;89;26830
01;2020-S40;9;138;90;7395
01;2020-S40;601;8020;0;656955
01;2020-S41;27;348;09;83001
01;2020-S41;156;1908;19;84665
01;2020-S41;196;1531;29;65496
01;2020-S41;203;1566;39;85588
01;2020-S41;220;1445;49;89678
01;2020-S41;181;1300;59;89791
01;2020-S41;133;976;69;73500
01;2020-S41;76;646;79;51011
01;2020-S41;59;444;89;26830
01;2020-S41;41;236;90;7395
01;2020-S41;1292;10402;0;656955
01;2020-S42;45;519;09;83001
01;2020-S42;330;2903;19;84665
01;2020-S42;357;2285;29;65496
01;2020-S42;395;2584;39;85588
01;2020-S42;380;2481;49;89678
01;2020-S42;383;2275;59;89791
01;2020-S42;301;1380;69;73500
01;2020-S42;153;883;79;51011
01;2020-S42;123;631;89;26830
01;2020-S42;76;398;90;7395
01;2020-S42;2543;16341;0;656955
01;2020-S43;72;642;09;83001
01;2020-S43;449;2793;19;84665
01;2020-S43;662;3096;29;65496
01;2020-S43;695;3331;39;85588
01;2020-S43;746;3240;49;89678
01;2020-S43;789;2975;59;89791
01;2020-S43;546;1934;69;73500
01;2020-S43;368;1255;79;51011
01;2020-S43;233;818;89;26830
01;2020-S43;121;509;90;7395
01;2020-S43;4682;20595;0;656955
01;2020-S44;125;705;09;83001
01;2020-S44;627;2879;19;84665
01;2020-S44;860;3802;29;65496
01;2020-S44;953;3962;39;85588
01;2020-S44;1037;3832;49;89678
01;2020-S44;1006;3686;59;89791
01;2020-S44;638;2291;69;73500
01;2020-S44;429;1439;79;51011
01;2020-S44;324;1093;89;26830
01;2020-S44;173;696;90;7395
01;2020-S44;6172;24387;0;656955
01;2020-S45;157;887;09;83001
01;2020-S45;704;3402;19;84665
01;2020-S45;736;3515;29;65496
01;2020-S45;786;3748;39;85588
01;2020-S45;868;3774;49;89678
01;2020-S45;897;3628;59;89791
01;2020-S45;622;2269;69;73500
01;2020-S45;401;1485;79;51011
01;2020-S45;297;1122;89;26830
01;2020-S45;143;663;90;7395
01;2020-S45;5611;24493;0;656955
01;2020-S46;87;718;09;83001
01;2020-S46;403;3073;19;84665
01;2020-S46;312;2092;29;65496
01;2020-S46;363;2338;39;85588
01;2020-S46;385;2510;49;89678
01;2020-S46;466;2428;59;89791
01;2020-S46;325;1532;69;73500
01;2020-S46;242;1020;79;51011
01;2020-S46;183;829;89;26830
01;2020-S46;137;517;90;7395
01;2020-S46;2903;17059;0;656955
01;2020-S47;67;544;09;83001
01;2020-S47;257;2424;19;84665
01;2020-S47;230;1790;29;65496
01;2020-S47;279;2059;39;85588
01;2020-S47;289;2113;49;89678
01;2020-S47;270;1920;59;89791
01;2020-S47;188;1229;69;73500
01;2020-S47;98;793;79;51011
01;2020-S47;110;667;89;26830
01;2020-S47;78;432;90;7395
01;2020-S47;1866;13973;0;656955
01;2020-S48;38;401;09;83001
01;2020-S48;180;1568;19;84665
01;2020-S48;136;1287;29;65496
01;2020-S48;160;1494;39;85588
01;2020-S48;168;1454;49;89678
01;2020-S48;194;1426;59;89791
01;2020-S48;123;996;69;73500
01;2020-S48;86;769;79;51011
01;2020-S48;86;626;89;26830
01;2020-S48;65;460;90;7395
01;2020-S48;1236;10481;0;656955
01;2020-S49;54;379;09;83001
01;2020-S49;125;1239;19;84665
01;2020-S49;120;1163;29;65496
01;2020-S49;140;1360;39;85588
